,error0
0,5716.333333333333
1,1.0
2,1.6
3,6.0
4,5.375
5,4.0
6,7.0
7,12.0
8,3.0
9,10.571428571428571
10,1.5
11,4.0
12,1.3333333333333333
13,9.5
14,12.0
15,4.142857142857143
16,1.5
17,5.0
18,1.5
19,3.0
20,1.0
21,2.3333333333333335
22,15.0
23,49.25
24,8.0
25,1.6
26,4.0
27,4.0
28,7.0
29,5.0
30,3.6666666666666665
31,16.666666666666668
32,6.0
33,1.2
34,8.0
35,1.2
36,3.0
37,1.3333333333333333
38,4.0
39,8.0
40,9.0
41,2.0
42,2.6
43,5.5
44,39424.8125
45,9.0
46,1.6
47,2.6666666666666665
48,1.375
49,7.0
50,3.0
51,32.57142857142857
52,10.0
53,2.0
54,1.3333333333333333
55,2.0
56,5.0
57,1.1666666666666667
58,5.5
59,121641.85714285714
60,5.0
61,8.0
62,1.875
63,7.0
64,30290.2
65,1.5
66,8.0
67,2.2
68,2.0
69,4.6
70,15.142857142857142
71,5.0
72,7.0
73,2.0
74,2.0
75,4.0
76,7.0
77,3.12
78,2.0
79,1.0
80,1.0
81,6.0
82,23.333333333333332
83,21.0
84,1.5555555555555556
85,5.0
86,5.0
87,1.0
88,7.0
89,4.25
90,3.0
91,4.0
92,7.0
93,5.0
94,6.0
95,3.0
96,8.0
97,4.0
98,8.0
99,3.2857142857142856
100,28838.904761904763
101,5.0
102,12.0
103,2.5
104,1.1428571428571428
105,3.0
106,5.0
107,7.0
108,2.4545454545454546
109,117.0
110,1.1666666666666667
111,4.0
112,3.0
113,3.0
114,1.5
115,4.0
116,5.0
117,1.1666666666666667
118,8.0
119,3.3333333333333335
120,3.0
121,5.0
122,2.0
123,6.0
124,2.0
125,7.0
126,4.0
127,4.0
128,3.0
129,11668.5
130,22.0
131,2.5
132,4.0
133,5.0
134,9.0
135,17.0
136,10.0
137,4.8
138,6.0
139,5.0
140,9473.666666666666
141,117.5
142,20.90909090909091
143,6.0
144,4.0
145,4.0
146,10.0
147,5.0
148,1.6666666666666667
149,1.0
150,4.0
151,2.0
152,3.0
153,1.0
154,9.0
155,1.75
156,3.0
157,2.0
158,3.6875
159,2.0
160,8.0
161,13.2
162,3.0
163,2.6666666666666665
164,1.25
165,11.0
166,5.0
167,6.333333333333333
168,1.0
169,2.7142857142857144
170,21.0
171,5.0
172,32.333333333333336
173,12.0
174,10.0
175,42.333333333333336
176,10.0
177,1.2857142857142858
178,11.0
179,1.375
180,5.0
181,6.0
182,4.5
183,2.4166666666666665
184,2.8333333333333335
185,5.0
186,3.75
187,4.2
188,6.5
189,2.0
190,2.0
191,150.33333333333334
192,1.2105263157894737
193,9.0
194,4.666666666666667
195,476.92857142857144
196,3.0
197,7.333333333333333
198,4.0
199,1.8
200,9.0
201,2.3333333333333335
202,12.0
203,5.0
204,5.0
205,3.0
206,4.5
207,6.0
208,1.6666666666666667
209,4.0
210,7.0
211,4.666666666666667
212,6.0
213,2.6666666666666665
214,13.333333333333334
215,19.444444444444443
216,6.0
217,6.0
218,2.0
219,1.5
220,9309.5
221,4.666666666666667
222,3.0
223,3.0
224,1.1
225,4.0
226,3.25
227,7.0
228,1.0
229,2.5
230,3.0
231,9.333333333333334
232,1.5555555555555556
233,2.857142857142857
234,22.5
235,1.0
236,6.666666666666667
237,1.0
238,2.5
239,11.0
240,2.0
241,8.0
242,3.6
243,9.0
244,9.0
245,3.0
246,4.0
247,2.2857142857142856
248,6.5
249,2.0
250,3.0
251,1.8
252,8.0
253,12139.4
254,1.6666666666666667
255,1.4
256,7.0
257,1.0
258,6.0
259,6.0
260,1.5
261,3.0
262,2.0
263,9.545454545454545
264,12705.857142857143
265,2.0
266,9.0
267,5.0
268,28312.5
269,3.0
270,8.0
271,4.0
272,18.8
273,150.0
274,6.0
275,1.3333333333333333
276,8.0
277,4.0
278,3.0
279,4.0
280,9.0
281,1.875
282,2.0
283,4.0
284,3.0
285,2.5
286,1.0
287,4.2
288,12.0
289,8.0
290,5.0
291,1.4166666666666667
292,1.3333333333333333
293,1.3333333333333333
294,8.0
295,3.0
296,2.0
297,4.0
298,6.0
299,2.0
300,2.5
301,246.71428571428572
302,9.0
303,14.0
304,6.0
305,8.0
306,6.0
307,2.3333333333333335
308,8.0
309,4.0
310,5.0
311,8.0
312,5.0
313,10.0
314,16.0
315,5.0
316,1.2
317,6.0
318,2.6666666666666665
319,546.3333333333334
320,19.2
321,1.75
322,4.0
323,13.0
324,3.0
325,9.0
326,5.0
327,6.0
328,4.25
329,2.0
330,4.5
331,4.0
332,6.333333333333333
333,3.272727272727273
334,3.3333333333333335
335,1.0
336,1.5
337,3.0
